id,genus,name_german,name_original,treetop_diam,tree_height,year_of_planting,license,credits
"3182853",Acer,Berg-Ahorn,Acer pseudoplatanus,"4","3","1985",Deutschland Namensnennung 2.0,Land Berlin
"3183009",Quercus,,Platanus acerifolia,"5","7","1993",Deutschland Namensnennung 2.0,Land Berlin
"3184423",Acer,Berg-Ahorn,Acer pseudoplatanus,"5","7","1985",Deutschland Namensnennung 2.0,Land Berlin
"3219510",Acer,Spitz-Ahorn,Acer platanoides,"5","7","1985",Deutschland Namensnennung 2.0,Land Berlin
"3236935",Aesculus,Gewöhnliche Rosskastanie,Aesculus hippocastanum,"8","12","1960",Deutschland Namensnennung 2.0,Land Berlin
"3237424",Acer,Spitz-Ahorn,Acer platanoides,"5","12","1972",Deutschland Namensnennung 2.0,Land Berlin
"3239672",Acer,Eschen-Ahorn,Acer negundo,"9","12","1985",Deutschland Namensnennung 2.0,Land Berlin
"3241522",Fraxinus,Gewöhnliche Esche,Fraxinus excelsior,"4","7","1990",Deutschland Namensnennung 2.0,Land Berlin
"3243711",Betula,,Betula pendula,"10","17","1975",Deutschland Namensnennung 2.0,Land Berlin
"3243874",Acer,Eschen-Ahorn,Acer negundo,"9","9","1985",Deutschland Namensnennung 2.0,Land Berlin
"3244022",Corylus,Baum-Hasel,Corylus colurna,"6","12","1985",Deutschland Namensnennung 2.0,Land Berlin
"3244187",Quercus,Rot-Eiche,Quercus rubra,"5","20","1978",Deutschland Namensnennung 2.0,Land Berlin
"3259224",Acer,Eschen-Ahorn,Acer negundo,"11","17","1950",Deutschland Namensnennung 2.0,Land Berlin
"3259389",Acer,Eschen-Ahorn,Acer negundo,"8","12","1956",Deutschland Namensnennung 2.0,Land Berlin
"3259798",Tilia,Winter-Linde 'Dilia',Tilia intermedia,"4","7","2002",Deutschland Namensnennung 2.0,Land Berlin
"3260387",Gleditsia,Amerikanische Gleditschie,Gleditsia triacanthos,"5","17","1982",Deutschland Namensnennung 2.0,Land Berlin
"3260846",Aesculus,Gewöhnliche Rosskastanie,Aesculus hippocastanum,"10","12","1960",Deutschland Namensnennung 2.0,Land Berlin
"3261004",Acer,Berg-Ahorn,Acer pseudoplatanus,"4","7","1965",Deutschland Namensnennung 2.0,Land Berlin
"3261323",Acer,Eschen-Ahorn,Acer negundo,"5","12","1988",Deutschland Namensnennung 2.0,Land Berlin
"3261927",Tilia,Winter-Linde 'Dilia',Tilia intermedia,"4","7","2002",Deutschland Namensnennung 2.0,Land Berlin
"3263127",Acer,Spitz-Ahorn,Acer platanoides,"5","12","1990",Deutschland Namensnennung 2.0,Land Berlin
"3263130",Prunus,Traubenkirsche,Pinus strobus,"5","10","1992",Deutschland Namensnennung 2.0,Land Berlin
"3263736",Robinia,Gewöhnliche Scheinakazie,Robinia pseudoacacia,"9","17","1965",Deutschland Namensnennung 2.0,Land Berlin
"3264196",Corylus,Baum-Hasel,Corylus colurna,"5","12","1985",Deutschland Namensnennung 2.0,Land Berlin
"3264360",Quercus,Rot-Eiche,Quercus rubra,"10","25","1975",Deutschland Namensnennung 2.0,Land Berlin
"3264427",Corylus,Baum-Hasel,Corylus colurna,"5","12","1990",Deutschland Namensnennung 2.0,Land Berlin
"3264431",Corylus,Baum-Hasel,Corylus colurna,"5","12","1985",Deutschland Namensnennung 2.0,Land Berlin
"3266232",Acer,Spitz-Ahorn,Acer platanoides,,"12","1998",Deutschland Namensnennung 2.0,Land Berlin
"3266244",Populus,Silber-Pappel 'Nivea',Populus alba 'Nivea',"6","15",,Deutschland Namensnennung 2.0,Land Berlin
"2819902",Acer,Spitz-Ahorn,Acer platanoides,,"17","1951",Deutschland Namensnennung 2.0,Land Berlin
"2877616",Populus,,Populus x canadensis Hybride,"8","17","1950",Deutschland Namensnennung 2.0,Land Berlin
"2877879",Populus,,Populus x canadensis Hybride,"5","20","1950",Deutschland Namensnennung 2.0,Land Berlin
"2877880",Populus,,Populus x canadensis Hybride,"10","22","1950",Deutschland Namensnennung 2.0,Land Berlin
"2878085",Acer,Berg-Ahorn,Acer pseudoplatanus,"4.5","12",,Deutschland Namensnennung 2.0,Land Berlin
"2878144",Quercus,Stiel-Eiche,Quercus robur,"4","12","1997",Deutschland Namensnennung 2.0,Land Berlin
"2878586",Fraxinus,Gewöhnliche Esche,Fraxinus excelsior,"5","10","1990",Deutschland Namensnennung 2.0,Land Berlin
"2878942",Malus,Holz-Apfel,Pinus sylvestris,,"5",,Deutschland Namensnennung 2.0,Land Berlin
"2878943",Acer,Spitz-Ahorn,Acer platanoides,,"17",,Deutschland Namensnennung 2.0,Land Berlin
"2879201",Betula,,Betula pendula,"8","12","1995",Deutschland Namensnennung 2.0,Land Berlin
"2879487",Sorbus,Vogelbeere,Sorbus aucuparia,"2","3",,Deutschland Namensnennung 2.0,Land Berlin
"2879533",Betula,,Betula pendula,"5","17","1984",Deutschland Namensnennung 2.0,Land Berlin
"2880512",Ulmus,Berg-Ulme,Ulmus glabra,"5","17","1990",Deutschland Namensnennung 2.0,Land Berlin
"2880594",Tilia,Winter-Linde,Tilia cordata,"13","12",,Deutschland Namensnennung 2.0,Land Berlin
"2880595",Tilia,Sommer-Linde,Tilia platyphyllos,"14","30",,Deutschland Namensnennung 2.0,Land Berlin
"2880830",Populus,,Populus x canadensis Hybride,"15","35","1950",Deutschland Namensnennung 2.0,Land Berlin
"2880835",Populus,,Populus x canadensis Hybride,"15","35","1950",Deutschland Namensnennung 2.0,Land Berlin
"2880922",Salix,Silber-Weide,Salix alba,"6","12","1989",Deutschland Namensnennung 2.0,Land Berlin
"2880990",Fraxinus,Gewöhnliche Esche,Fraxinus excelsior,"5","12","1990",Deutschland Namensnennung 2.0,Land Berlin
"2880991",Tilia,,Tilia americana,"8","17","1974",Deutschland Namensnennung 2.0,Land Berlin
"2881182",Acer,Berg-Ahorn,Acer pseudoplatanus,"3.5","12",,Deutschland Namensnennung 2.0,Land Berlin
"2881183",Acer,Feld-Ahorn,Acer campestre,"3.5","7",,Deutschland Namensnennung 2.0,Land Berlin
"2901670",Populus,,Populus x canadensis Hybride,"5","20","1950",Deutschland Namensnennung 2.0,Land Berlin
"2901674",Acer,Feld-Ahorn,Acer campestre,"4","7","1993",Deutschland Namensnennung 2.0,Land Berlin
"2901718",Betula,,Betula pendula,"4.5","12","1990",Deutschland Namensnennung 2.0,Land Berlin
"2903005",Prunus,Traubenkirsche,Pinus strobus,,"7",,Deutschland Namensnennung 2.0,Land Berlin
"2904071",Prunus,Traubenkirsche,Prunus padus,"4","3",,Deutschland Namensnennung 2.0,Land Berlin
"2904099",Prunus,,Prunus avium,"4","7","1989",Deutschland Namensnennung 2.0,Land Berlin
"2904689",Populus,,Populus x canadensis Hybride,"7","20","1950",Deutschland Namensnennung 2.0,Land Berlin
"2904927",Populus,,Populus x canadensis Hybride,"6","16","1950",Deutschland Namensnennung 2.0,Land Berlin
"2904929",Populus,Kanada-Pappel 'Robusta',Populus x canadensis 'Robusta',"4","17","1950",Deutschland Namensnennung 2.0,Land Berlin
"2904980",Gleditsia,Amerikanische Gleditschie,Gleditsia triacanthos,"5","17",,Deutschland Namensnennung 2.0,Land Berlin
"2905199",Fraxinus,Gewöhnliche Esche,Fraxinus excelsior,"4","10","2003",Deutschland Namensnennung 2.0,Land Berlin
"2905503",Acer,Berg-Ahorn,Acer pseudoplatanus,"3","12",,Deutschland Namensnennung 2.0,Land Berlin
"2905508",Acer,Berg-Ahorn,Acer pseudoplatanus,,"17",,Deutschland Namensnennung 2.0,Land Berlin
