fid,id,genus,name_german,name_original,treetop_diam,tree_height,year_of_planting,license,credits
"1","3175201",Tilia,Winter-Linde,Tilia cordata,"3","7","1998",Deutschland Namensnennung 2.0,Land Berlin
"2","3175214",Elaeagnus,,Picea pungens 'Glauca',"5","7","1991",Deutschland Namensnennung 2.0,Land Berlin
"3","3175218",Acer,Spitz-Ahorn,Acer platanoides,"7","7","1985",Deutschland Namensnennung 2.0,Land Berlin
"4","3175465",Populus,Simons Pappel,Populus simonii,"11","17","1982",Deutschland Namensnennung 2.0,Land Berlin
"5","3175700",Acer,Spitz-Ahorn,Acer platanoides,"5","7","1996",Deutschland Namensnennung 2.0,Land Berlin
"6","3175725",Populus,Grau-Pappel,Populus canescens,"5","7","1998",Deutschland Namensnennung 2.0,Land Berlin
"7","3175727",Crataegus,,Crataegus laevigata 'Paul´s Scarlet',"5","7","1996",Deutschland Namensnennung 2.0,Land Berlin
"8","3175956",Tilia,Holländische Linde 'Pallida',Tilia intermedia 'Pallida',"4","3","1996",Deutschland Namensnennung 2.0,Land Berlin
"9","3175964",Tilia,Winter-Linde 'Dilia',Tilia intermedia,"7","7","1930",Deutschland Namensnennung 2.0,Land Berlin
"10","3175969",Fraxinus,Gewöhnliche Esche,Fraxinus excelsior,"2","7","2000",Deutschland Namensnennung 2.0,Land Berlin
"11","3176017",Tilia,Winter-Linde,Tilia cordata,"7","7","1980",Deutschland Namensnennung 2.0,Land Berlin
"12","3176036",Acer,Spitz-Ahorn,Acer platanoides,"12","17","1950",Deutschland Namensnennung 2.0,Land Berlin
"13","3176050",Tilia,Winter-Linde,Tilia cordata,"5","7","1982",Deutschland Namensnennung 2.0,Land Berlin
"14","3176238",Tilia,Holländische Linde 'Pallida',Tilia intermedia 'Pallida',"4","7","2000",Deutschland Namensnennung 2.0,Land Berlin
"15","3176244",Acer,Silber-Ahorn,Acer saccharinum,"12","17","1980",Deutschland Namensnennung 2.0,Land Berlin
"16","3176254",Tilia,Winter-Linde,Tilia cordata,"7","7","1980",Deutschland Namensnennung 2.0,Land Berlin
"17","3176255",Acer,Spitz-Ahorn,Acer platanoides,"13","12","1982",Deutschland Namensnennung 2.0,Land Berlin
"18","3176261",Tilia,Winter-Linde,Tilia cordata,"6","7","1980",Deutschland Namensnennung 2.0,Land Berlin
"19","3176267",Tilia,Krim-Linde,Tilia euchlora,"5","7","1980",Deutschland Namensnennung 2.0,Land Berlin
